,reviewer,code,players
0,Marty,ivfut,"['Stefano', 'Gerard', 'Yang', 'Jorge', 'Mike', 'Michael', 'Enoch', 'Jasper']"
1,Stefano,pjisy,"['Gerard', 'Yang', 'Jorge', 'Mike', 'Michael', 'Enoch', 'Jasper', 'Niokhor']"
2,Gerard,zkrpy,"['Yang', 'Jorge', 'Mike', 'Michael', 'Enoch', 'Jasper', 'Niokhor', 'Ashish']"
3,Yang,06omn,"['Jorge', 'Mike', 'Michael', 'Enoch', 'Jasper', 'Niokhor', 'Ashish', 'Everett']"
4,Jorge,ddfdr,"['Mike', 'Michael', 'Enoch', 'Jasper', 'Niokhor', 'Ashish', 'Everett', 'Joao']"
5,Mike,ykpch,"['Michael', 'Enoch', 'Jasper', 'Niokhor', 'Ashish', 'Everett', 'Joao', 'Emanuel']"
6,Michael,brwjr,"['Enoch', 'Jasper', 'Niokhor', 'Ashish', 'Everett', 'Joao', 'Emanuel', 'Kazuki']"
7,Enoch,awef8,"['Jasper', 'Niokhor', 'Ashish', 'Everett', 'Joao', 'Emanuel', 'Kazuki', 'Mark']"
8,Jasper,jrzvy,"['Niokhor', 'Ashish', 'Everett', 'Joao', 'Emanuel', 'Kazuki', 'Mark', 'Mash']"
9,Niokhor,wzlgs,"['Ashish', 'Everett', 'Joao', 'Emanuel', 'Kazuki', 'Mark', 'Mash', 'Marty']"
10,Ashish,tqqwz,"['Everett', 'Joao', 'Emanuel', 'Kazuki', 'Mark', 'Mash', 'Marty', 'Stefano']"
11,Everett,69l5u,"['Joao', 'Emanuel', 'Kazuki', 'Mark', 'Mash', 'Marty', 'Stefano', 'Gerard']"
12,Joao,pr7xi,"['Emanuel', 'Kazuki', 'Mark', 'Mash', 'Marty', 'Stefano', 'Gerard', 'Yang']"
13,Emanuel,howfe,"['Kazuki', 'Mark', 'Mash', 'Marty', 'Stefano', 'Gerard', 'Yang', 'Jorge']"
14,Kazuki,v1ut8,"['Mark', 'Mash', 'Marty', 'Stefano', 'Gerard', 'Yang', 'Jorge', 'Mike']"
15,Mark,f73ru,"['Mash', 'Marty', 'Stefano', 'Gerard', 'Yang', 'Jorge', 'Mike', 'Michael']"
16,Mash,ydshs,"['Marty', 'Stefano', 'Gerard', 'Yang', 'Jorge', 'Mike', 'Michael', 'Enoch']"
