,reviewer,code,players
0,Marty,0lrcg,Yang|Enoch|Jasper|Mike|Michael|Stefano|Jorge|Gerard
1,Stefano,o3efa,Niokhor|Yang|Enoch|Jorge|Mike|Michael|Jasper|Gerard
2,Gerard,i9vlc,Mike|Jasper|Yang|Jorge|Ashish|Michael|Niokhor|Enoch
3,Yang,sqxoq,Michael|Mike|Jorge|Ashish|Jasper|Everett|Enoch|Niokhor
4,Jorge,xki7h,Everett|Michael|Jasper|Ashish|Mike|Enoch|Niokhor|Joao
5,Mike,rgbrk,Joao|Ashish|Everett|Enoch|Emanuel|Niokhor|Jasper|Michael
6,Michael,kvjyv,Kazuki|Ashish|Emanuel|Enoch|Niokhor|Joao|Jasper|Everett
7,Enoch,dkk4m,Kazuki|Jasper|Mark|Niokhor|Joao|Ashish|Emanuel|Everett
8,Jasper,gl2ox,Everett|Niokhor|Mash|Kazuki|Mark|Ashish|Emanuel|Joao
9,Niokhor,hbiwb,Everett|Kazuki|Marty|Joao|Ashish|Mash|Mark|Emanuel
10,Ashish,kodm0,Joao|Stefano|Kazuki|Everett|Emanuel|Marty|Mark|Mash
11,Everett,hbwgy,Emanuel|Kazuki|Stefano|Marty|Mash|Joao|Gerard|Mark
12,Joao,wda4a,Emanuel|Mark|Marty|Kazuki|Gerard|Stefano|Yang|Mash
13,Emanuel,6dvi7,Yang|Mark|Marty|Gerard|Mash|Jorge|Kazuki|Stefano
14,Kazuki,mtce0,Jorge|Mike|Marty|Mash|Stefano|Yang|Gerard|Mark
15,Mark,ldxtv,Jorge|Michael|Mash|Stefano|Mike|Marty|Gerard|Yang
16,Mash,5vgrs,Stefano|Jorge|Yang|Gerard|Mike|Michael|Enoch|Marty
